dish_id,calories,mass,fat,carb,protein
dish_1558461792,300.71,7.51,0.01,1.93,2.07
dish_1558549150,34.2,27.31,0.91,15.32,8.1
dish_1558637698,4.42,0.32,1.07,39.9,5.22
dish_1558719401,87.0,8.95,1.76,28.11,32.85
dish_1558723926,16.2,28.4,14.42,43.07,8.1
dish_1559157919,64.03,41.19,21.06,49.66,28.3
dish_1561148481,81.09,25.0,0.24,9.13,11.68
dish_1561492182,25.29,6.85,0.31,16.07,1.11
dish_1561493975,16,61,3,14,1
dish_1561580659,100.74,0.85,1.03,5.68,19.59
dish_1561661347,25.91,17.19,0.12,8.85,7.07
dish_1561661479,25.9,13.1,2.19,39.66,8.28
dish_1562010315,50.94,19.28,27.04,16.21,29.1
dish_1562172643,1303.0,55.2,23.1,21.22,26.19
dish_1562617370,34.91,5.76,2.1,3.43,13.12
dish_1562774159,25.71,41.1,0.19,6.85,3.66
dish_1562872396,16.8,31.6,0.5,1.76,39.4
dish_1562872914,87.4,32.73,3.19,25.41,17.26
dish_1563308323,12.8,39.29,2.7,30.47,11.83
dish_1563309315,170.91,5.73,0.81,6.29,8.26
dish_1563465805,64.87,40.32,1.73,13.53,6.68
dish_1563477659,25.82,12.31,26.38,55.7,42.64
dish_1564432238,90.5,7.05,2.53,11.59,12.17
dish_1564589025,80.5,6.23,16.74,28.85,9.99
dish_1565118067,90.09,25.39,2.81,15.31,19.04
dish_1565118729,1000.01,16.19,1.68,3.38,4.59
dish_1565640601,25.0,14.07,23.63,13.49,34.39
dish_1565725095,50.2,4.83,46.18,,
dish_1565987015,49.57,1073.19,91.13,31.21,1.33
dish_1566328894,7.12,21.4,18.63,40.66,25.53
dish_1566332085,16.1,39.55,22.93,40.25,6.12
dish_1566922978,45.7,29.93,9.83,28.5,1.42
dish_1566934401,25.19,16.98,10.0,31.93,8.27
dish_1567110783,181.82,26.83,40.12,39.8,15.91
dish_1567613057,1,52.0,3,6.21,11.39
dish_1572021506,56.45,19.25,13.18,34.77,17.95
