dish_id,calories,mass,fat,carb,protein
dish_1558461792,100,100,5,20,2
dish_1558549150,100,100,0.5,25,0.5
dish_1558637698,20,100,0.5,10,2
dish_1558719401,50,100,5,20,2
dish_1558723926,20,100,0.5,10,1
dish_1559157919,100,50,20,15,5
dish_1561148481,300,200,10,50,15
dish_1561492182,300,200,10,50,15
dish_1561493975,100,50,10,20,5
dish_1561580659,500,300,20,150,30
dish_1561661347,20,100,2,5,2
dish_1561661479,100,100,5,10,5
dish_1562010315,200,100,10,30,15
dish_1562172643,300,200,10,30,20
dish_1562617370,300,200,10,30,15
dish_1562774159,200,150,10,30,5
dish_1562872396,300,100,20,15,25
dish_1562872914,200,100,20,15,15
dish_1563308323,50,50,2,12,1
dish_1563309315,100,100,5,20,5
dish_1563465805,100,100,5,20,2
dish_1563477659,100,50,20,30,10
dish_1564432238,300,200,10,50,15
dish_1564589025,100,150,5,30,2
dish_1565118067,300,200,10,50,10
dish_1565118729,200,100,10,20,15
dish_1565640601,100,200,10,30,15
dish_1565725095,100,200,10,30,5
dish_1565987015,100,50,20,30,5
dish_1566328894,300,150,10,30,5
dish_1566332085,100,100,5,20,2
dish_1566922978,100,50,20,15,5
dish_1566934401,300,100,20,40,15
dish_1567110783,100,100,50,20,15
dish_1567613057,500,200,30,50,20
dish_1572021506,500,200,30,100,20
