dish_id,calories,mass,fat,carb,protein
dish_1558461792,125,37,6,14,8
dish_1558549150,12,35,0,14,1
dish_1558637698,12,5,0,6,3
dish_1558719401,12,3,0,0,0
dish_1558723926,12,35,0,14,0
dish_1559157919,125,34,6,7,3
dish_1561148481,258,376,14,29,18
dish_1561492182,125,38,4,16,7
dish_1561493975,125,34,6,7,3
dish_1561580659,235,418,16,37,29
dish_1561661347,215,378,14,16,19
dish_1561661479,125,38,4,16,17
dish_1562010315,275,318,14,26,29
dish_1562172643,257,186,14,39,25
dish_1562617370,125,340,16,28,17
dish_1562774159,125,348,16,17,10
dish_1562872396,235,187,14,16,19
dish_1562872914,125,34,6,17,18
dish_1563308323,0,12,0,5,0
dish_1563309315,259,316,14,18,27
dish_1563465805,125,38,4,16,3
dish_1563477659,12,3,0,0,0
dish_1564432238,125,378,14,26,19
dish_1564589025,125,38,4,16,3
dish_1565118067,275,318,14,16,19
dish_1565118729,235,186,14,17,29
dish_1565640601,257,318,14,16,19
dish_1565725095,125,138,4,16,7
dish_1565987015,0,125,0,3,0
dish_1566328894,125,30,4,6,7
dish_1566332085,0,125,0,3,0
dish_1566922978,125,3,4,6,12
dish_1566934401,235,187,14,16,29
dish_1567110783,259,186,13,14,27
dish_1567613057,258,376,14,29,12
dish_1572021506,235,187,14,16,19
