dish_id,calories,mass,fat,carb,protein
dish_1558461792,45.6,250,0.5,10.2,1.8
dish_1558549150,80,100,0.5,20,1.2
dish_1558637698,25,50,0.5,5,2.5
dish_1558719401,17,17,0.3,4.3,0.5
dish_1558723926,22,100,0.2,5,1
dish_1559157919,0,0,0,0,0
dish_1561148481,250,150,10,20,5
dish_1561492182,350,250,2,70,5
dish_1561493975,20,15,0.5,3,1.5
dish_1561580659,550.2,250.5,20.8,40.2,35.1
dish_1561661347,50.2,200.5,0.8,5.2,2.5
dish_1561661479,220.5,150.2,12.1,6.5,25.8
dish_1562010315,350.2,250.5,10.2,20.1,30.8
dish_1562172643,550.2,250.5,30.1,40.2,35.5
dish_1562617370,250.5,120.2,10.5,30.8,12.1
dish_1562774159,120.5,150.2,0.8,30.1,2.5
dish_1562872396,550.2,250.5,35.7,10.2,40.1
dish_1562872914,350,120,25,0,30
dish_1563308323,45.6,0.5,0.2,11,0.9
dish_1563309315,350.2,250.5,10.2,20.1,30.5
dish_1563465805,220.5,150.2,0.5,45.6,3.2
dish_1563477659,120.5,28.7,2.1,25.6,1.8
dish_1564432238,550.2,250.5,25.1,40.2,30.5
dish_1564589025,110.5,150.2,0.3,26.5,2.3
dish_1565118067,250.5,150.2,12.1,20.5,15.8
dish_1565118729,150.2,120.5,3.2,6.7,25.1
dish_1565640601,350.2,250.5,15.8,10.2,30.1
dish_1565725095,45.6,0.5,0.2,10.2,1.5
dish_1565987015,20,15,0.5,3.5,1.2
dish_1566328894,250,120,12,30,2
dish_1566332085,16.5,0.2,0.1,3.6,0.5
dish_1566922978,120.5,100.2,8.5,6.2,5.1
dish_1566934401,250.5,150.2,12.1,20.5,15.8
dish_1567110783,540.2,245.6,29.5,34.2,37.8
dish_1567613057,220.5,250.2,15.1,20.8,10.2
dish_1572021506,540.2,250.5,23.1,40.2,15.6
