dish_id,calories,mass,fat,carb,protein
dish_1558461792,200,400,15,30,10
dish_1558461792,300,150,4.5,60,8
dish_1558549150,120,370,0.5,47,0.6
dish_1558549150,165.3,74.8,0.2,12.3,2.2
dish_1558637698,175,60,4,20,3
dish_1558637698,400,15,0.3,20,5
dish_1558719401,150.0,62.4,2.3,8.3,1.7
dish_1558719401,140.8,25.7,28.3,6.7,
dish_1558723926,175,0.33,0.08,0.69,0.22
dish_1558723926,120,4.5,0.7,6.3,1.5
dish_1559157919,300,150,2.5,30,4.5
dish_1559157919,100,250,3.5,40,4
dish_1561148481,1350,400,28,49,27
dish_1561148481,400,150,5,30,2
dish_1561492182,450,250,15,30,8
dish_1561492182,180,400,25,70,10
dish_1561493975,100,150,4.5,7.5,2.5
dish_1561493975,143.2,360,18.3,75.5,26.2
dish_1561580659,500,120,10,70,30
dish_1561580659,140,350,25,60,20
dish_1561661347,300,450,12,48,20
dish_1561661347,400,500,10,20,10
dish_1561661479,105.3,293.7,16.4,25.6,27.2
dish_1561661479,300,500,20,70,10
dish_1562010315,1650,435,28,36,33
dish_1562010315,600,350,15,100,12
dish_1562172643,325.46,74.01,23.98,42.52,44.52
dish_1562172643,200,180,5,36,20
dish_1562617370,203,74,9,34,14
dish_1562617370,100,150,30,45,25
dish_1562774159,400,350,12,25,10
dish_1562774159,450,325,12,68,18
dish_1562872396,780.2,130.5,26.4,34.8,
dish_1562872396,300,125,15,45,15
dish_1562872914,450,180,35,65,20
dish_1562872914,100,50,3,5,2
dish_1563308323,100,50,0.5,8,0.2
dish_1563308323,150,30,1.0,45.0,30.0
dish_1563309315,500,400,20,100,70
dish_1563309315,0.45,0.79,0.32,0.69,0.37
dish_1563465805,150,36,2,84,2
dish_1563465805,200,100,5,20,3
dish_1563477659,40,135,2,15,1
dish_1563477659,100,300,5,20,1
dish_1564432238,504.8,236.7,19.6,69.4,
dish_1564432238,400,180,30,60,15
dish_1564589025,250,35,1.5,30,4
dish_1564589025,304.875,69.234,0.621,36.894,0.400
dish_1565118067,1200,450,30,65,75
dish_1565118067,400,150,25,30,5
dish_1565118729,700,400,15,30,20
dish_1565118729,150,170,6.5,28,3
dish_1565640601,750,300,25,50,10
dish_1565640601,130,250,7,60,3
dish_1565725095,456,123,10,150,50
dish_1565725095,180,150,5,35,20
dish_1565987015,200,0.5,1,3.5,2
dish_1565987015,100.0,50.2,4.8,6.7,2.3
dish_1566328894,500,120,7,40,30
dish_1566328894,0.35,24.7,1.8,2.3,0.6
dish_1566332085,175,250,4.5,3.5,2.0
dish_1566332085,100.0,162.3,10.7,4.5,
dish_1566922978,420,137,16,52,9.4
dish_1566922978,215,10,12.5,18.5,17.5
dish_1566934401,140,352,6.9,34.7,48.2
dish_1566934401,120.4,75.8,3.2,16.2,4.8
dish_1567110783,350,700,18,24,60
dish_1567110783,450,350,15,65,20
dish_1567613057,500,120,30,80,50
dish_1567613057,150.4,236,8.3,49.5,4.9
dish_1572021506,400,350,15,70,20
dish_1572021506,160,325,40,75,10
