dish_id,calories,mass,fat,carb,protein
dish_1558461792,300,75,20,48,15
dish_1558549150,130,245,1.5,40,1.5
dish_1558637698,150,70,3,65,12
dish_1558719401,150.5,40.0,30.0,20.0,
dish_1558723926,300,65.4,17.2,90.6,12.8
dish_1559157919,500,125,20,30,15
dish_1561148481,120,456,30,80,35
dish_1561492182,600,350,10,40,20
dish_1561493975,150,200,20,30,10
dish_1561580659,1500.2,200.3,400.4,300.5,
dish_1561661347,350.7,168.4,20.0,22.0,16.0
dish_1561661479,165,0.87,0.32,29.48,7.48
dish_1562010315,140,75,3,28,20
dish_1562172643,250.6,140,3.7,48.5,39.3
dish_1562617370,0.426,0.533,0.068,0.794,0.183
dish_1562774159,200,375,8,67,3
dish_1562872396,180,350,20,75,50
dish_1562872914,150,23.9,5.7,8.5,4.6
dish_1563308323,150,62,4,85,3.5
dish_1563309315,165.4,803.7,25.1,96.1,103.3
dish_1563465805,150,0.7,2.3,3.9,0.8
dish_1563477659,0.35,125,0.75,4.5,0.9
dish_1564432238,350,145,5,32,15
dish_1564589025,108.34,0.56,0.79,0.93,0.28
dish_1565118067,450,120,18,36,12
dish_1565118729,500,100,20,30,10
dish_1565640601,130,648,5.8,28.7,4.2
dish_1565725095,600,150,8,12,4
dish_1565987015,140,265,3.9,87.1,2.6
dish_1566328894,350,180,7,42,12
dish_1566332085,500,150,25,375,450
dish_1566922978,213,47,0.5,65,8.2
dish_1566934401,120,35,4.5,38,2.5
dish_1567110783,456,321,0.379,50,20
dish_1567613057,350.8,475.2,19.6,52.4,4.6
dish_1572021506,120,350,10,65,10
