dish_id,calories,mass,fat,carb,protein
dish_1558461792,250,1,0.3,10,7
dish_1558549150,150,0.43,0.12,12,0.78
dish_1558637698,500,10,3,10,2
dish_1558719401,450,160,35,78,20
dish_1558723926,0.5,1.2,0.3,1.4,0.7
dish_1559157919,125,0.43,1.75,0.98,0.62
dish_1561148481,100,0.5,0.2,0.3,0.6
dish_1561492182,140,0.35,2,0.8,
dish_1561493975,200,150,3.5,17.5,8.5
dish_1561580659,800,350,25,45,15
dish_1561661347,500,200,10,25,30
dish_1561661479,300,10,2,4,5
dish_1562010315,500,150,20,40,35
dish_1562172643,400,100,30,50,100
dish_1562617370,125.4,0.365,0.19,0.38,0.46
dish_1562774159,0.6,0.25,0.3,0.45,0.9
dish_1562872396,250.4,100.7,9.3,13.6,
dish_1562872914,120.5,67.3,8.9,6.2,4.6
dish_1563308323,140,50,35,30,20
dish_1563309315,105.5,250.3,10.4,20.2,
dish_1563465805,480,0.25,3.7,1.6,0.9
dish_1563477659,200,0.35,0.18,0.47,0.27
dish_1564432238,1250,1.5,0.5,4.7,3.0
dish_1564589025,180,3.5,0.5,3.2,10
dish_1565118067,0,185,36.2,185,185
dish_1565118729,0.538,0.129,0.046,0.321,0.471
dish_1565640601,200,1.5,13,40,25
dish_1565725095,85.37,0.19,0.06,0.44,0.29
dish_1565987015,0,1,0.25,0.4,0.6
dish_1566328894,100,50,0.1,3,2
dish_1566332085,150,200,1.5,35,6
dish_1566922978,250,80,3,40,10
dish_1566934401,405,180,20,30,15
dish_1567110783,10,0.5,1,0.5,0.2
dish_1567613057,300,100,20,50,5
dish_1572021506,105.23,87.53,12.34,56.78,34.56
