id,category_id,category_name,category_count_ratio,mask_count_ratio
0,89,cilantro mint,1.00,0.1864
1,0,background,0.69,0.6343
2,0,background,1.00,0.0699
3,0,background,1.00,0.0057
4,0,background,1.00,0.1033
5,0,background,1.00,0.0046
6,0,background,1.00,0.0006
7,89,cilantro mint,1.00,0.0025
8,0,background,1.00,0.0044
9,0,background,1.00,0.1719
10,0,background,1.00,0.0036
11,0,background,1.00,0.0076
12,89,cilantro mint,1.00,0.0023
13,89,cilantro mint,1.00,0.0011
14,0,background,1.00,0.0159
15,89,cilantro mint,1.00,0.0026
16,0,background,1.00,0.0022
17,0,background,1.00,0.0014
18,0,background,1.00,0.0021
19,0,background,1.00,0.0039
20,0,background,1.00,0.0092
21,89,cilantro mint,1.00,0.0014
22,89,cilantro mint,1.00,0.0013
23,89,cilantro mint,1.00,0.0006
24,89,cilantro mint,0.92,0.0009
25,0,background,1.00,0.0016
26,0,background,1.00,0.0022
27,0,background,1.00,0.0074
28,89,cilantro mint,1.00,0.0006
29,0,background,1.00,0.0006
30,89,cilantro mint,0.98,0.0023
31,0,background,1.00,0.0007
32,89,cilantro mint,1.00,0.0008
33,89,cilantro mint,1.00,0.0023
34,89,cilantro mint,1.00,0.0015
35,89,cilantro mint,1.00,0.0009
36,89,cilantro mint,1.00,0.0007
37,0,background,1.00,0.0108
38,0,background,1.00,0.0109
39,0,background,1.00,0.0005
40,89,cilantro mint,1.00,0.0009
41,89,cilantro mint,1.00,0.0011
42,0,background,1.00,0.0066
43,89,cilantro mint,0.89,0.0007
44,0,background,1.00,0.0026
