id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,1064,505,156,50,37,530.0,157.5,1.021896481513977,0.9612902998924255,0,0,640,480
1,138787,145,1,464,448,250.0,142.5,1.0202081203460693,0.9805979132652283,0,0,640,480
2,54641,0,0,117,478,10.0,52.5,1.0143719911575317,0.99062579870224,0,0,640,480
3,54993,0,0,639,478,30.0,472.5,1.003961205482483,0.9777570962905884,0,0,640,480
4,6514,435,11,120,117,510.0,112.5,0.9969437122344971,0.9838660359382629,0,0,640,480
5,272,0,0,19,24,10.0,7.5,0.9944782853126526,0.9963235259056091,0,0,640,480
6,919,189,434,40,45,210.0,472.5,0.9939119815826416,0.9817204475402832,0,0,640,480
7,2892,299,447,151,22,350.0,457.5,0.9934588074684143,0.992085337638855,0,0,640,480
8,15504,393,244,140,192,430.0,337.5,0.9897257685661316,0.9825268983840942,0,0,640,480
9,8901,312,227,102,146,410.0,247.5,0.9893900156021118,0.9847302436828613,0,0,640,480
10,1489,501,120,63,41,510.0,127.5,0.9871236681938171,0.9774236679077148,0,0,640,480
11,15539,393,173,170,263,430.0,367.5,0.9860000014305115,0.9814306497573853,0,0,640,480
12,2011,473,109,31,83,490.0,187.5,0.9814381003379822,0.974901556968689,0,0,640,480
13,733,443,173,30,41,450.0,202.5,0.9782548546791077,0.9850746393203735,0,0,640,480
14,565,578,13,25,57,590.0,22.5,0.9780494570732117,0.9894366264343262,0,0,640,480
15,24511,311,227,222,209,430.0,322.5,0.9749394655227661,0.9774681925773621,0,0,640,480
16,14247,544,0,91,478,610.0,7.5,0.9739985466003418,0.9650945067405701,0,0,640,480
17,289,189,466,26,13,210.0,472.5,0.9732421040534973,0.9965517520904541,0,0,640,480
18,697,99,0,26,52,110.0,37.5,0.9663175940513611,0.9815078377723694,0,0,640,480
19,597,539,0,64,12,570.0,7.5,0.9653444886207581,0.9866888523101807,0,0,640,480
20,332,130,33,34,10,150.0,37.5,0.9646887183189392,0.9910179376602173,0,0,640,480
21,945,239,124,35,53,270.0,142.5,0.9633129239082336,0.9739854335784912,0,0,640,480
22,316,419,230,17,27,430.0,247.5,0.962512195110321,0.9750778675079346,0,0,640,480
23,2327,520,165,53,82,530.0,232.5,0.9617320895195007,0.9664115905761719,0,0,640,480
24,3910,356,69,108,62,430.0,97.5,0.9610418081283569,0.9817906022071838,0,0,640,480
25,24431,311,171,252,264,430.0,367.5,0.9608633518218994,0.9731402397155762,0,0,640,480
26,225,458,85,13,22,470.0,97.5,0.9608519673347473,0.9778761267662048,0,0,640,480
27,1799,478,368,42,68,490.0,382.5,0.9588435292243958,0.9694322943687439,0,0,640,480
28,649,196,434,33,33,210.0,457.5,0.9582448601722717,0.9697884917259216,0,0,640,480
29,1646,99,0,28,124,110.0,37.5,0.9577089548110962,0.9759325981140137,0,0,640,480
30,5074,451,347,150,121,510.0,457.5,0.9576981663703918,0.961256742477417,0,0,640,480
31,1900,435,49,118,79,510.0,112.5,0.9559077620506287,0.9714285731315613,0,0,640,480
32,401,447,119,20,37,450.0,127.5,0.9548926949501038,0.9705159664154053,0,0,640,480
33,1925,342,296,47,78,350.0,322.5,0.9541661739349365,0.959775984287262,0,0,640,480
34,4750,312,227,101,76,390.0,262.5,0.9506852030754089,0.9605019688606262,0,0,640,480
35,3276,413,119,58,94,470.0,172.5,0.9490743279457092,0.973818838596344,0,0,640,480
36,520,462,121,17,47,470.0,142.5,0.9478682279586792,0.9641509652137756,0,0,640,480
37,369,462,121,17,28,470.0,142.5,0.9473118782043457,0.9679999947547913,0,0,640,480
38,353,489,446,29,33,510.0,472.5,0.940051257610321,0.9832402467727661,0,0,640,480
39,441,357,93,40,21,390.0,97.5,0.9391666054725647,0.9754464030265808,0,0,640,480
40,6690,421,164,152,91,530.0,232.5,0.9387873411178589,0.9633715748786926,0,0,640,480
41,168,409,451,12,14,410.0,457.5,0.9296057820320129,0.970588207244873,0,0,640,480
42,1271,392,160,39,76,430.0,187.5,0.9293959736824036,0.9705197811126709,0,0,640,480
43,4571,393,119,79,116,430.0,127.5,0.9285224676132202,0.9751243591308594,0,0,640,480
44,530,238,466,39,13,270.0,472.5,0.9268129467964172,0.9574074149131775,0,0,640,480
45,214,322,449,13,17,330.0,457.5,0.912328839302063,0.9590908885002136,0,0,640,480
46,1459,356,92,64,39,390.0,112.5,0.9034479856491089,0.9590878486633301,0,0,640,480
47,288,277,466,21,13,290.0,472.5,0.8969541192054749,0.9761092066764832,0,0,640,480
