id,category_id,category_name,category_count_ratio,mask_count_ratio
0,58,bread,0.94,0.2676
1,0,background,0.37,0.4379
2,0,background,0.98,0.0680
3,0,background,0.87,0.0372
4,80,lettuce,0.87,0.0747
5,58,bread,0.89,0.0003
6,58,bread,1.00,0.0004
7,58,bread,1.00,0.0004
8,58,bread,1.00,0.0003
9,0,background,1.00,0.0006
10,58,bread,1.00,0.0004
11,58,bread,0.86,0.0003
12,58,bread,1.00,0.0004
13,80,lettuce,0.99,0.0028
14,0,background,1.00,0.0005
15,58,bread,1.00,0.0004
16,80,lettuce,0.85,0.0047
17,58,bread,0.93,0.2686
18,46,steak,0.83,0.0430
19,58,bread,1.00,0.0003
20,58,bread,1.00,0.0003
21,80,lettuce,1.00,0.0007
22,58,bread,1.00,0.0002
23,58,bread,1.00,0.0004
24,46,steak,0.83,0.0430
25,0,background,0.98,0.0683
26,80,lettuce,0.99,0.0023
27,58,bread,1.00,0.0002
28,58,bread,1.00,0.0003
29,58,bread,1.00,0.0003
30,58,bread,1.00,0.0005
31,58,bread,1.00,0.0003
32,58,bread,1.00,0.0002
33,58,bread,0.98,0.0004
34,80,lettuce,0.75,0.0022
35,80,lettuce,0.92,0.0050
36,58,bread,1.00,0.0004
37,58,bread,1.00,0.0013
38,80,lettuce,0.86,0.0049
39,58,bread,1.00,0.0002
40,80,lettuce,0.75,0.0023
41,58,bread,1.00,0.0003
42,58,bread,1.00,0.0003
43,46,steak,0.90,0.0006
44,58,bread,0.91,0.0003
45,58,bread,1.00,0.0004
46,58,bread,1.00,0.0004
47,58,bread,1.00,0.0004
48,80,lettuce,0.97,0.0012
49,58,bread,1.00,0.0002
50,58,bread,1.00,0.0003
51,58,bread,1.00,0.0003
52,58,bread,1.00,0.0003
53,58,bread,1.00,0.0003
54,80,lettuce,1.00,0.0012
55,80,lettuce,0.88,0.0106
56,58,bread,1.00,0.0002
57,0,background,1.00,0.0002
58,58,bread,1.00,0.0002
59,58,bread,1.00,0.0003
60,58,bread,1.00,0.0003
61,58,bread,0.96,0.0002
62,58,bread,1.00,0.0002
63,58,bread,1.00,0.0003
