id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,1300373,450,75,1752,920,801.5625,309.375,1.051377773284912,0.9914047718048096,0,0,2700,1800
1,2127998,0,5,2699,1787,1223.4375,1715.625,1.0212361812591553,0.9903839826583862,0,0,2700,1800
2,330572,211,655,2141,743,1307.8125,1153.125,1.014452576637268,0.9866012930870056,0,0,2700,1800
3,180675,499,1309,1689,402,1814.0625,1603.125,1.0009241104125977,0.972592294216156,0,0,2700,1800
4,363047,296,975,2051,643,885.9375,1378.125,0.9982750415802002,0.9508869647979736,0,0,2700,1800
5,1384,2070,442,35,47,2067.1875,478.125,0.979488730430603,0.9856836199760437,0,0,2700,1800
6,1826,1533,409,48,47,1560.9375,421.875,0.9744020700454712,0.9891008138656616,0,0,2700,1800
7,1765,931,252,64,35,970.3125,253.125,0.972987949848175,0.9842785000801086,0,0,2700,1800
8,1351,1971,367,40,49,1982.8125,365.625,0.9729224443435669,0.9845927953720093,0,0,2700,1800
9,2939,2310,971,41,85,2320.3125,1040.625,0.9712308645248413,0.9811257123947144,0,0,2700,1800
10,1941,1013,386,60,44,1054.6875,421.875,0.970800518989563,0.992303729057312,0,0,2700,1800
11,1424,1956,439,34,53,1982.8125,478.125,0.9693565964698792,0.9902234673500061,0,0,2700,1800
12,1791,1698,334,63,41,1729.6875,365.625,0.9692171812057495,0.9861034154891968,0,0,2700,1800
13,13526,1913,1345,119,164,1982.8125,1490.625,0.9685718417167664,0.9796545505523682,0,0,2700,1800
14,2483,1365,1083,64,58,1392.1875,1096.875,0.9683231115341187,0.972178041934967,0,0,2700,1800
15,1725,1665,406,66,34,1729.6875,421.875,0.9681811928749084,0.9890552759170532,0,0,2700,1800
16,22843,612,1248,236,271,717.1875,1434.375,0.9680574536323547,0.9743943810462952,0,0,2700,1800
17,1305620,446,77,1810,1278,1982.8125,590.625,0.9675567150115967,0.9696878790855408,0,0,2700,1800
18,208952,435,816,1880,581,1645.3125,1378.125,0.967043399810791,0.9649114608764648,0,0,2700,1800
19,1553,1549,360,46,39,1560.9375,365.625,0.9660646319389343,0.9885057210922241,0,0,2700,1800
20,1310,1806,286,54,31,1814.0625,309.375,0.9646348357200623,0.9841150045394897,0,0,2700,1800
21,3243,356,1229,68,77,379.6875,1265.625,0.9635250568389893,0.9792872667312622,0,0,2700,1800
22,1182,1036,168,49,29,1054.6875,196.875,0.9600264430046082,0.9840871095657349,0,0,2700,1800
23,1766,1988,577,48,44,1982.8125,590.625,0.9599104523658752,0.9848314523696899,0,0,2700,1800
24,208866,1546,817,770,579,1729.6875,1378.125,0.9593951106071472,0.9531430006027222,0,0,2700,1800
25,332047,211,415,2143,1254,1560.9375,1321.875,0.9568569660186768,0.9823070764541626,0,0,2700,1800
26,11375,1041,1396,213,134,1139.0625,1434.375,0.9564990997314453,0.9735335111618042,0,0,2700,1800
27,759,1784,185,33,27,1814.0625,196.875,0.9547427892684937,0.9778933525085449,0,0,2700,1800
28,1222,611,507,31,50,632.8125,534.375,0.9546730518341064,0.9846278429031372,0,0,2700,1800
29,1546,1278,239,57,33,1307.8125,253.125,0.9535620808601379,0.9858611822128296,0,0,2700,1800
30,2192,1226,367,71,37,1223.4375,365.625,0.9510923624038696,0.9863945841789246,0,0,2700,1800
31,1288,1698,243,53,34,1729.6875,253.125,0.9497533440589905,0.9807247519493103,0,0,2700,1800
32,953,1805,245,33,35,1814.0625,253.125,0.9472465515136719,0.9874869585037231,0,0,2700,1800
33,1983,834,411,62,43,885.9375,421.875,0.9472440481185913,0.9829574227333069,0,0,2700,1800
34,10871,2210,1273,136,145,2320.3125,1321.875,0.9432360529899597,0.9817618131637573,0,0,2700,1800
35,24382,451,1138,232,271,464.0625,1153.125,0.940518319606781,0.9547839164733887,0,0,2700,1800
36,1923,1345,251,69,35,1392.1875,253.125,0.9403672218322754,0.9706639051437378,0,0,2700,1800
37,6186,1230,457,120,71,1307.8125,478.125,0.9389785528182983,0.9608867764472961,0,0,2700,1800
38,23965,296,1053,208,251,464.0625,1265.625,0.9383557438850403,0.9530288577079773,0,0,2700,1800
39,1186,1212,295,46,31,1223.4375,309.375,0.9365097880363464,0.981574535369873,0,0,2700,1800
40,11098,2211,1209,135,209,2235.9375,1378.125,0.9362412095069885,0.9637488722801208,0,0,2700,1800
41,1518,1528,280,64,29,1560.9375,309.375,0.9354254603385925,0.977878987789154,0,0,2700,1800
42,1520,1429,188,62,29,1476.5625,196.875,0.930505633354187,0.9830397963523865,0,0,2700,1800
43,2742,357,978,71,45,379.6875,984.375,0.9298573136329651,0.9769203066825867,0,0,2700,1800
44,1554,770,432,56,44,801.5625,478.125,0.9287723302841187,0.9713375568389893,0,0,2700,1800
