id,category_id,category_name,category_count_ratio,mask_count_ratio
0,44,orange,0.79,0.0499
1,44,orange,0.78,0.0455
2,44,orange,0.70,0.0441
3,25,apple,0.73,0.0286
4,0,background,0.90,0.0647
5,44,orange,0.68,0.0255
6,0,background,0.47,0.0104
7,44,orange,0.63,0.0151
8,0,background,0.42,0.0159
9,25,apple,0.72,0.0288
10,0,background,0.37,0.0945
11,44,orange,0.61,0.0224
12,0,background,0.99,0.0674
13,29,banana,0.93,0.0683
14,0,background,0.37,0.0943
15,44,orange,0.61,0.0223
16,11,wine,0.37,0.0107
17,47,pork,0.46,0.0106
18,29,banana,0.91,0.0539
19,29,banana,0.99,0.0733
20,70,potato,0.99,0.0072
21,29,banana,0.91,0.0540
22,44,orange,0.78,0.0457
23,47,pork,0.27,0.0990
24,47,pork,0.27,0.0991
25,11,wine,0.75,0.0052
26,0,background,1.00,0.0126
27,70,potato,0.68,0.0033
28,101,white button mushroom,0.59,0.0022
29,0,background,0.68,0.0045
30,25,apple,0.72,0.0290
31,0,background,1.00,0.0008
32,29,banana,0.94,0.1987
33,0,background,1.00,0.0005
34,0,background,1.00,0.0009
35,0,background,0.99,0.0024
36,0,background,1.00,0.0021
37,47,pork,0.80,0.0082
38,47,pork,0.44,0.0077
39,0,background,0.92,0.0017
40,52,sauce,0.69,0.0126
41,87,broccoli,0.47,0.0032
42,0,background,0.98,0.0017
43,47,pork,0.85,0.0109
44,0,background,0.41,0.0033
45,47,pork,1.00,0.0023
46,44,orange,0.70,0.0443
47,47,pork,0.53,0.0044
48,0,background,0.96,0.0049
49,47,pork,0.78,0.0120
50,0,background,0.66,0.0012
51,0,background,0.95,0.0195
52,70,potato,0.35,0.0030
53,0,background,0.95,0.0004
54,0,background,1.00,0.0005
55,0,background,0.61,0.0053
56,47,pork,0.68,0.0130
57,47,pork,0.35,0.1014
58,44,orange,0.63,0.0152
59,47,pork,0.72,0.0117
60,87,broccoli,0.35,0.0044
61,0,background,0.74,0.0016
62,70,potato,1.00,0.0008
63,44,orange,0.63,0.0367
64,0,background,1.00,0.0011
65,0,background,0.99,0.0006
66,29,banana,0.90,0.0037
67,0,background,0.88,0.0047
68,48,chicken duck,0.76,0.0013
69,29,banana,1.00,0.0008
70,29,banana,1.00,0.0015
71,48,chicken duck,0.66,0.0199
72,0,background,0.98,0.0041
73,0,background,0.95,0.0043
74,46,steak,0.26,0.0336
75,0,background,0.83,0.0060
76,0,background,1.00,0.0015
77,0,background,1.00,0.0007
78,0,background,0.95,0.0013
79,44,orange,0.70,0.0690
80,0,background,0.41,0.0117
81,48,chicken duck,0.68,0.0005
82,48,chicken duck,0.67,0.0197
83,44,orange,0.69,0.0695
84,44,orange,0.55,0.0253
85,0,background,0.92,0.0026
86,29,banana,0.94,0.1298
87,70,potato,0.63,0.0021
88,44,orange,0.75,0.0890
89,0,background,1.00,0.0003
