id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,608023,1200,411,817,945,1275.75,819.0,1.03713858127594,0.9897457957267761,0,0,3024,4032
1,555251,1999,372,835,860,2504.25,1197.0,1.0304681062698364,0.9933066964149475,0,0,3024,4032
2,538069,2111,1190,883,787,2409.75,1953.0,1.0280530452728271,0.9938117861747742,0,0,3024,4032
3,348133,1791,1797,729,742,2126.25,1953.0,1.025339126586914,0.9910576939582825,0,0,3024,4032
4,789014,0,0,1199,966,236.25,693.0,1.0252820253372192,0.9905676245689392,0,0,3024,4032
5,311050,1567,1142,661,710,1937.25,1575.0,1.0239640474319458,0.9910702109336853,0,0,3024,4032
6,127281,1177,1158,377,575,1275.75,1575.0,1.019508719444275,0.9918162822723389,0,0,3024,4032
7,184319,1299,1716,498,553,1559.25,2079.0,1.019370436668396,0.9929128885269165,0,0,3024,4032
8,193840,2156,0,660,419,2220.75,315.0,1.013822317123413,0.9884960651397705,0,0,3024,4032
9,350617,1585,1796,950,1206,2126.25,1953.0,1.010171890258789,0.9854346513748169,0,0,3024,4032
10,1151876,1298,2500,1720,1531,2787.75,2709.0,1.009731411933899,0.9912837743759155,0,0,3024,4032
11,273198,1315,1742,818,1287,1842.75,2961.0,1.0096698999404907,0.9891101121902466,0,0,3024,4032
12,822141,0,3150,1164,881,897.75,3717.0,1.0080302953720093,0.9869661927223206,0,0,3024,4032
13,833036,0,800,1159,1940,330.75,1701.0,1.0077956914901733,0.9685108065605164,0,0,3024,4032
14,1149638,508,2500,2511,1531,2882.25,3843.0,1.0066959857940674,0.9919720888137817,0,0,3024,4032
15,272297,1403,2235,732,794,1748.25,2961.0,1.003382921218872,0.9827965497970581,0,0,3024,4032
16,129964,1722,0,496,307,2031.75,189.0,1.0029397010803223,0.9908543825149536,0,0,3024,4032
17,129478,2658,364,365,720,2976.75,693.0,1.0018714666366577,0.9752371907234192,0,0,3024,4032
18,657393,967,875,867,2075,1086.75,1827.0,1.000588059425354,0.9836235046386719,0,0,3024,4032
19,894140,474,851,968,2138,897.75,1827.0,1.0003976821899414,0.981580376625061,0,0,3024,4032
20,88142,0,413,339,652,141.75,819.0,0.9992935657501221,0.9909191727638245,0,0,3024,4032
21,658612,559,860,1275,2090,1181.25,2079.0,0.9987413287162781,0.9834744930267334,0,0,3024,4032
22,557307,1206,372,1629,861,2787.75,693.0,0.998263955116272,0.9884224534034729,0,0,3024,4032
23,1207438,0,2379,2353,1652,1275.75,3717.0,0.9974497556686401,0.9696182012557983,0,0,3024,4032
24,1207877,0,166,2356,3865,1181.25,3591.0,0.995224118232727,0.9690977334976196,0,0,3024,4032
25,62963,1755,0,462,184,2126.25,63.0,0.9949381947517395,0.981492280960083,0,0,3024,4032
26,153732,248,0,771,257,519.75,63.0,0.9935656785964966,0.9886021018028259,0,0,3024,4032
27,40353,0,834,151,488,47.25,945.0,0.9914419651031494,0.9890553951263428,0,0,3024,4032
28,26936,0,2367,149,305,47.25,2583.0,0.9906887412071228,0.9859938621520996,0,0,3024,4032
29,55305,2682,116,341,305,2976.75,315.0,0.9903794527053833,0.9797507524490356,0,0,3024,4032
30,353495,1790,1254,1086,1286,2220.75,2457.0,0.989269495010376,0.9866378903388977,0,0,3024,4032
31,9202,1747,674,121,127,1842.75,693.0,0.9891534447669983,0.97321617603302,0,0,3024,4032
32,2422161,9,665,1823,2325,1181.25,2331.0,0.9875071048736572,0.9606419205665588,0,0,3024,4032
33,6021,48,236,76,109,47.25,315.0,0.9830206036567688,0.9887677431106567,0,0,3024,4032
34,11551,2891,3867,132,164,2976.75,3969.0,0.9826465845108032,0.9918103218078613,0,0,3024,4032
35,29407,1036,3703,239,304,1181.25,3843.0,0.9797723889350891,0.978111743927002,0,0,3024,4032
36,25922,2853,1053,170,222,2976.75,1071.0,0.9795237183570862,0.9836266040802002,0,0,3024,4032
37,99637,880,0,830,669,1086.75,441.0,0.9791556000709534,0.9753596186637878,0,0,3024,4032
38,93759,0,2820,370,446,141.75,3213.0,0.9762393832206726,0.9850324392318726,0,0,3024,4032
39,20144,193,3146,319,114,330.75,3213.0,0.974788248538971,0.9711670279502869,0,0,3024,4032
40,153621,215,2701,612,502,425.25,2835.0,0.9728715419769287,0.9800839424133301,0,0,3024,4032
41,38673,2738,0,285,218,2787.75,189.0,0.9725685119628906,0.9836897850036621,0,0,3024,4032
